Speaker	Title	Time (US/Eastern)
Lojikil	The Multician of Venice	1600
Infosé Canon	TBA	1645
EFF Sing Along	TBA	1830
Intermission	The jester enters the court	
Neil Matatall // ndm	TBA	1830
Jerry Gamblin	Kenna	1915
Seth & Ken	Live, On Ice	2000
Cory Doctorow	TBA	2045
